Nom de la société,Secteur d'activité,Taille de l'entreprise,Catégorie,Année de fondation,Adresse,Lien webs
LABORATOIRE THERA,santé / paramédical / optique,Entre 20 et 100 employés,Société privée locale,,"Lot N°20 ZI El Agba Hrairia 2051, Mannouba, La Manouba, 2051 Tunisie",
PHARMADERM,santé / paramédical / optique,Entre 20 et 100 employés,Société privée locale,,"Résidence Yousr, Immobilière des Merveilles A6-3 Ennasr II, Ettadhamen, Ariana, 2088 Tunisie",
SOL EMBALLAGE,autres,Entre 20 et 100 employés,Société privée locale,,"route de tunis Km1, Soliman, Nabeul, None Tunisie",
SAPHIR VÉHICULES & AUTOMOBILES,automobile / moteurs / engins mécaniques,Entre 100 et 200 employés,Société privée locale,2016,"Nouvelle Zone Industriel Cité Ettamir, Sousse Ville, Sousse, 4000 Tunisie",
HEXAGONE AFRIQUE,informatique / télécoms,Moins de 20 employés,Société privée étrangère,,"Bureau B3-1, Immeuble Emeraude Center, 1053 Les Berges du Lac, Tunis, Tunisie, El Kram, Tunis, 1053 Tunisie",
CASA-ELECT,électronique / électricité / énergie,Moins de 20 employés,Société privée locale,2018,"Cité elghazela, Raoued, Ariana, 2083 Tunisie",
NIMR,automobile / moteurs / engins mécaniques,Entre 20 et 100 employés,Société privée locale,,"Voie E Zone Industrielle BEN AROUS, Ben Arous, Ben Arous, 2013 Tunisie",
ZIADI LIGHTING,électronique / électricité / énergie,Moins de 20 employés,Société privée locale,,"15 jawhari cité  pins Marsa, La Marsa, Tunis, None Tunisie",
BOURAOUI EVENTS,tourisme / hôtellerie / restauration / loisirs,Moins de 20 employés,Société privée locale,,"Rue qualité de la vie MAALAGA Carthage , Carthage, Tunis, None Tunisie",
EEI,commerce / vente / distribution,Entre 20 et 100 employés,Société privée locale,2016,"129 Rue Kairouan 2028, Fouchana, Ben Arous, Ben Arous, 2082 Tunisie",http://www.eei.com.tn
